Sentences,Aspect,Target,Polarity,Time
"Nice Atmosphere

Green Building Concept
Spacious Rooms

Inside this Building, there are
Mandiri Bank CS Office
Starbucks Cafe
ATM
beside the Hospital itself

Lobby at Ground Level, is wide, clean & fresh
Here are 3 piano available near entrance glass Doors

Since this Hospital is remotely located, it's quiet & relaxing here in the Lobby

Fully AirConditioned, & there is free bottled drinking water provided for visitors if they ever need to quench their thirst

Or they may go to Starbucks to shop for a bite of meal or a slurp of drinks","Cleanliness, Food","Lobby, Starbucks","Positive, Positive",2 years ago
new hospital with many food outlets,Food,NULL,Positive,3 years ago
Service excellent!,NULL,NULL,Positive,10 months ago
"awful!! nurses are lack of experiences and irresponsible! 
NOT Recommended!!
in addition, their customer service SUCKS!! it kept saying that their line is busy without giving us a chance to wait","Nurse, Receptionist&Billing","NULL, NULL","Negative, Negative",2 years ago
awful service! the nurses arent even qualified to handle crucial incident. They wont even admit when they give the WRONG baby to her mother and gave crappy excuse! after a while they started to admit what they did but didnt apologize or show further responsibility  to the patient. DISAPPOINTED!!,Nurse,NULL,Negative,2 years ago
"A really cozy hospital, you won't feel like you are visiting hospital. The service is also good. There are Starbucks and Teapresso here. Usually crowded.",Food,NULL,Positive,3 years ago
Clean and nice staff,Receptionist&Billing,NULL,Positive,a year ago
very bad service,NULL,NULL,Negative,8 months ago
what does its phone line used for? Go pick up the f*kin phone. I've been calling multiple times with a busy tone. What a service compared to its price,"Receptionist&Billing, Cost","NULL, NULL","Negative, Negative",2 years ago
"Unqualified nurse that accidentally trade my baby with someone else! Mine is 2 weeks old, the other baby is 1day old, that clearly shows how dumb and irresponsible their nurses are",Nurse,NULL,Negative,2 years ago
"Just Want to call for register but the telephone is sucks, mitra keluarga already respond but i call for 1 hour but the telephone STILL busy. OMG.","Receptionist&Billing, Waiting Time","NULL, NULL","Negative, Negative",3 years ago
Best hospital in town,NULL,NULL,Positive,a year ago
Nice Hospital and very nice scenery.,NULL,NULL,Positive,2 years ago
"National Hospital phisically new n low experience especially in management n the nurse. They follow singapore system for the it system but too bad they dont upgrade the employee. 
E.g. We can't reach the hospital during peak hour. All line are busy. And then when we waiting for the doctor, the doctor can refuse to come if the patient is only 1 person. The doctor didn't standby. ( my personal experience with dr. Elisabeth) Another thing...the doctor dont want to wait for a patient, but we have to wait if the doctor come late even 2 hours without any info responsible reason. And when the doctor start, we can't know what the next number in line, and if we call to get the info what number of patient who inside the room, they just hang up the phone. Well...anything in there just wasting my time for waiting. 
I hope they can change the system more transparent n informative.","Receptionist&Billing, Nurse, Doctor, Waiting Time","National Hospital, National Hospital, National Hospital, National Hospital","Negative, Negative, Negative, Negative",4 years ago
Great n cozy hospital but the price is far higher than others hospital....,Cost,NULL,Positive,3 years ago
"A Great and cozy place for a hospital, might as well make it a semi hotel.",NULL,NULL,Positive,3 years ago
Because the service is good ,NULL,NULL,Positive,3 years ago
BAD SERVICE,NULL,NULL,Negative,2 years ago
"You can find Starbucks at this Hospital. Located in west Surabaya, near UNESA and Citraland",Food,Starbucks,Positive,4 years ago
"Although this is a hospital, but it is also a good place for hanging out.",NULL,NULL,Positive,3 years ago
Nice hospital,NULL,NULL,Positive,a year ago
Clean and nice staff,"Cleanliness, Receptionist&Billing","NULL, NULL","Positive, Positive",2 years ago
Clean Hospital,Cleanliness,NULL,Positive,a year ago
"Very nice hospital, professional doctors",Doctor,NULL,Positive,2 years ago
Premium hospital in west surabaya,NULL,NULL,Positive,3 years ago
Nice,NULL,NULL,Positive,3 years ago
good ambience..polite staffs,Receptionist&Billing,NULL,Positive,3 years ago
nice,NULL,NULL,Positive,3 years ago
wait at starbuck,Food,Starbucks,Neutral,3 years ago
"It's clean, and have good service!",Cleanliness,NULL,Positive,3 years ago
Okay,NULL,NULL,Positive,3 years ago
Hospital with a five star hotel facility,NULL,NULL,Positive,4 years ago
Good service good people for national hospital,NULL,National Hospital,Positive,4 years ago
"National Hospital, West Surabaya",NULL,National Hospital,Neutral,6 years ago
excellent,NULL,NULL,Positive,6 years ago
Reliable Hospital,NULL,NULL,Positive,6 years ago
"
Kecewa dg sistemnya yg mnrt sy ga jelas dan pelayanannya yg alakadarnya, apalg utk arS semewah itu. Sy tlp berkali2 tdk diangkat, pdhl nyambung. Kapok ke sini",Receptionist&Billing,NULL,Negative,2 weeks ago
"
Tempatnya bagus sekali. Terlihat bersih, lapang, rapi. Paving block di depan membuat bahkan jalan terlihat elegan.

Pelayanan di dalam rapi dan jelas. Administrasi tidak beribet. Pegawai, karyawan, suster, dan dokter semuanya ramah dalam komunikasi.

Bravo. Semoga terus semakin bagus dalam melayani pasien!","Cleanliness, Receptionist&Billing, Nurse, Doctor","NULL, NULL, NULL, NULL","Positive, Positive, Positive, Positive",7 months ago
"
Rumah sakit dari segi pelayanan rawat inap bagus meski di kelas 3, bersih dan memanjakan parang penjenguk, untuk kualitas medis belum bisa memberi review, yg jelas untuk pelayaman rawat inap sudah bagus, kawasan di sekeliling RS menurut saya masih di Area jalur cepat dan perumahan elite, minimarket jauh, belum ada kantin di dalam RS, ada Mushola di RS

Saran saja untuk sekitar RS diberi fasilitas untuk menyebrang Jalan , sangat sulit bagi pejalan kaki untuk keluar ke area sekitar RS","Cleanliness, Food","NULL, NULL","Positive, Negative",5 months ago
"
TOLONG KEPADA KEPALA RUMAH SAKIT NATIONAL HOSPITAL TOLONG DI TINDAK TEGAS KEPADA KARYAWAN ATAS NAMA PUTRA SATRIA BELIAU SUDAH MEMBAWA KABUR UANG PERUSAHA AN MEGA PRIMER . TOLONG SAMPAIKAN KEPADA BELIAU SURUH BAYARKAN TAGIHAN NYA DI MEGA PRIMER . TERIMAKASIH",NULL,National Hospital,Negative,4 months ago
"
kenapa cacad?
1. telp ke rs itu harus langaung ke operator bukan ke untuk bhs Inggris please press 1....kalo emergency sdh mati orang nya

2. ush nunggu lama.. jawaban tel nya cmntel yg anda tuju sedang sibuk 

3. mending d tutup aja rs nya.. kalo susah di telp","Receptionist&Billing, Waiting Time","NULL, NULL","Negative, Negative",4 months ago
"
Salah satu rumah sakit di Surabaya dengan penampilan modern serta suasana yang nyaman, baik bagi pasien, keluarga maupun para pembezoeknya.

Lupakan konsep rumah sakit dengan suasana serba putih dan monoton, ya karena penampilan rumah sakit ini sudah seperti sebuah hotel, loh... dengan sofa2 empuk serta sebuah piano yang diletakkan di dekat pintu masuk. Beberapa mesin ATM juga ada di sini serta Starbuck.

Untuk ruang rawat inapnya mulai dari lantai 6 sd.lantai 9.Perhatikan petunjuk tiap lantai di dalam liftnya,ya karena ternyata tidak semua lift mencapai lantai yang dimaksud.

Untuk jam bezoeknya sendiri bebas  karena kemarin saya datang berkunjung ke sana sekitar jam setengah 10 pagi dan bebas masuk ruangan rawat inap tanpa ada hambatan.

Kamar inapnya juga seperti kamar hotel (yang ada di lantai 7) dengan toilet berikut sofa panjang untuk 2 orang serta televisi datar dan AC.

Untuk pelayanannya sendiri,selain bagi si sakit,sepertinya tidak ada koordinasi yang baik antara satu sama lainnya...","Food, Waiting Time","Starbucks, NULL","Positive, Positive",a year ago
"
tempatnya bersih, staff yg ramah terutama bagian penerimaan telp. kalau engga salah bagian contact centernya ramah dan siaga 24/7. cuma satpamnya mohon agak tegas untuk tindak parkir atau penjemputan di depan lobby. recomended untuk menengah ke atas atau ekspatriat. bagian igd nya top.","Cleanliness, Parking, Receptionist&Billing","NULL, NULL, NULL","Positive, Negative, Positive",5 months ago
"
Pelayanan operator telfonya sangat ramah dan mereka menjelaskan sangat jelasss sekali. Semua pertanyaan saya di jawab semua padahal saya tanya ini itu biar jelas semua kan ya dan ini sangat membantu dan memudahkan pasien untunk melanjutkan berobat di rs national hospital... 
untuk semua biaya rumah sakit di surabaya sebenarnya sama aja, tapi klo untuk tempat yang nyaman parkiran yang banyak bangunan bersih, rapi, ruang tunggu nyaman dan ruangan di rs nasional hospital ber ac sangat dingin sekali dan terasa nyaman. Saya lebih memilih berobat di RS nasional hospital aja. Harga ga jauh beda sama rs lain di sby. Be smart","Cleanliness, Cost, Receptionist&Billing","National Hospital, National Hospital, National Hospital","Positive, Positive, Positive",6 months ago
"
Saya pernah berobat di sini beberapa kali. Pelayanan di IGD sangat baik, saya dilayani secara cepat saat mual muntah hebat karena keracunan makanan. Pelayanan di lantai 2 juga baik, terutama Farmasi. Karena saya sering menanyakan vaksin baik via WA maupun telpon, dan selalu direspon dengan baik. Bagi saya, harga dan pelayanan sebanding. Dibanding tempat lain dgn harga tidak jauh beda, saya lebih memilih ke NH walaupun rumah saya d sby timur. Saya juga sangat mengapresiasi pihak cleaning service, karena pernah saya menumpahkam minuman di lantai ruang tunggu lantai 2 dalam hitungan menit langsung dibersihkan. ","Cost, Waiting Time","National Hospital, National Hospital","Positive, Positive",6 months ago
"
Nomor telfon tidak pernah bisa dihubungi!! Lebih baik telfon rumah sakit lain saja. Kejadian ini bukan sekali dua kali, tapi sejak lama saya sering sekali tidak bisa menelfon runah sakit.",Receptionist&Billing,NULL,Negative,5 months ago
"
Bagaimana prosedur untuk rapid test dan berapa biayanya ?","Test&Examination, Cost","NULL, NULL","Neutral, Neutral",3 weeks ago
"
Saya merasa sangat beruntung dan terbantu sekali bisa bertemu dengan dr. Aimee Nugroho Sp,Kj
Pribadi dan perspektif dr. Aimee yang open minded dan welas asih memberikan pengalaman yang baik untuk saya bisa survive untuk berdamai dengan BPD saya. Staf di NH pun sangat ramah dalam memberikan pelayanan baik itu suster, apoteker, administrasi, satpam semuanya membuat saya nyaman.","Doctor, Nurse, Parking, Receptionist&Billing","National Hospital, National Hospital, National Hospital, National Hospital","Positive, Positive, Positive, Positive",6 months ago
"
Bedah syaraf nya sangat baik dengan teknologi tinggi ",Test&Examination,NULL,Positive,6 months ago
"
Rumah sakit di wilayah Surabaya barat yang mudah di jangkau dan cukup strategis lokasinya. Kondisi lingkungannya juga bersih dan nyaman sih. Semoga semakin terdepan. Terima kasih",Cleanliness,NULL,Positive,6 months ago
"
Layanan call center nya sangat buruk. ""Telepon yang anda hubungi sedang sibuk"". Langsung diputus. Bahkan Tidak ada nada tunggu. Apa sesuai untuk rumah sakit sebesar dan semewah itu?",Receptionist&Billing,NULL,Negative,5 months ago
"
Rumah sakit yang lumayan mewah di wilayah Surabaya Barat. Pelayanannya ok.",NULL,NULL,Positive,a year ago
"
Rumah sakit ini fasilitasnnya lengkap, kebersihan juga sangat terjaga",Cleanliness,NULL,Positive,9 months ago
"
Pelayanan terhadap pasien di ivf morula national hospital dilakukan dng nyaman dan memuaskan",NULL,IVF Morula National Hospital,Positive,2 years ago
"
RS Mewah dan modern sekelas hotel bintang 5. Pepatah jawa "" NGOWO REGO NGGOWO RUPO",Cost,NULL,Negative,2 years ago
"
Pelayanan sangat dbest. Rumahsakit rasa hotel menurut saya",NULL,NULL,Positive,5 months ago
"
Rumah sakit bertaraf Internasional di Surabaya, namun sayang saya tidak bisa memberi review yang lebih layak oleh sebab preseden buruk pasal 170 KUHP yang terjadi di Bojonegoro pada tahun 2014 lalu.",NULL,NULL,Positive,a year ago
"
Kalah sama pedagang kaki lima, gak ada kembalian parkir petugasnya bukannya nyari uang malah diem aja berharap diikhlaskan",Parking,NULL,Negative,10 months ago
"
Pertama kali masuk.... ini rumah sakit rasa hotel berbintang. Staff nya ramah, tempat bersih dan luas sekali. Yahh istilahnya masih kosong melomping. Mungkin beberapa tahun lagi baru ramai. ",Receptionist&Billing,NULL,Positive,2 years ago
"
RS nya bersih mewah sprti g sedang di RS, ke dokter tht ktmu dokter ursula yudith beliau baik ramah solutif bgt ngasih solusinya. Padahal dirs sebelumnya sy disuru oprasi. Tp beliau tdk menyarankan krn mari relatif aman. Btw saya kena amandel ","Cleanliness, Doctor","NULL, NULL","Positive, Positive",11 months ago
"
Rumah sakit ini oke untuk keperluan sakit umum, namun tidak untuk sakit kronis/tindakan emergency. Karena menurut saya suster disini kurang pengalaman, menyuntik saja bisa salah berkali2. Padahal disaat dokter belum ada, suster yg pegang peranan penting untuk keselamatan pasien.
Harganya juga paling mahal di surabaya.","Nurse, Cost","NULL, NULL","Negative, Negative",11 months ago
"
Percuma booking appointment. Giliran daftar ulang dibilang ga perna daftar",Receptionist&Billing,NULL,Negative,7 months ago
"
Rumah sakit premium di Surabaya, baru kali ini ke Rumah Sakit tapi gak berasa di RS.. Profesionalitas pelayaanan dan dokter best.","Receptionist&Billing, Doctor","NULL, NULL","Positive, Positive",a year ago
"
Rumah sakit nya bersih. Staff ramah dan tidak perlu menunggu antrian lama karena sudah daftar lewat telpon. Dan ketika kita agak terlambat datang kita pun ditelpon balik lho. Pelayanan memuaskan. Ada Starbucks dan teapresso disini","Cleanliness, Receptionist&Billing, Waiting Time, Food","NULL, NULL, NULL, NULL","Positive, Positive, Positive, Positive",a year ago
"
Rumah sakit yang bagus bangunannya...tapi obatnya tidak lengkap..indikasi koordinasi dokter dan managemen kurang baik",Doctor,NULL,Negative,a year ago
"
Bagus banget rs nya",NULL,NULL,Positive,7 months ago
"
2 teman saya meninggal dunia di rumah sakit ini. Menurut saya, penanganan medis tidak baik sama sekali. Dokter tidak standby ditempat sehingga suster yang harus mengurus dengan tidak profesional. Prosedur penanganan medis sangat tidak tepat dengan prosedur yang benar. Pada saat detak jantung teman saya berhenti, dan kami semua meminta untuk diberikan kejut setrum, suster hanya berkata ""Tidak bisa karena sudah mati, dan dapat mengakibatkan korban untuk hangus organnya."", di sini mereka tidak mau menuruti kata pasien sama sekali, mereka bertindak seenaknya tanpa kepedulian dan solidaaritas padahal tidak ada gejala penyakit apa pun pada teman saya. Saya berharap tidak ada yang meninggal lagi hanya karena prosedur penanganan yang tidak benar. Selebihnya saya menyarankan untuk tidak datang ke rumah sakit ini.","Doctor, Nurse, Test&Examination","NULL, NULL, NULL","Negative, Negative, Negative",a year ago
"
Kirim telur",NULL,NULL,Neutral,4 months ago
"
Rumah sakit modern, lingkungan asri dan bertaraf internasional.",NULL,NULL,Positive,2 years ago
"
Pelayanan medis buruk, orientasi bkn pada kesembuhan pasien",Doctor,NULL,Negative,7 months ago
"
Bangga Surabaya ada pelayanan kesehatan seperti National Hospital",NULL,National Hospital,Positive,6 months ago
"
Kamarnya nyaman, parkiran ada di basement. Dan yang penting free wifi. Ada starbucks dan bank mandiri juga","Parking, Food","Basement, Starbucks","Neutral, Positive",4 years ago
"
Bersihnya menyejukkan mata",Cleanliness,NULL,Positive,5 months ago
"
Rumah sakit terbaik menurut pengalaman saya. Pengobat luar dalam bagi pasien. Obatnya bagus , dokter dan perawat sangat baik pelayanannya. Sangat memuaskan","Doctor, Nurse","NULL, NULL","Positive, Positive",a year ago
"
Nomer telpon tidak diangkat",Receptionist&Billing,NULL,Negative,2 weeks ago
"
Lahiran anak ke 2 di RS ini. Suster nya tidak profesional, kurang experience, dan kurang koordinasi. Surat Keterangan Lahir juga salah. Very disappointed.",Nurse,NULL,Negative,11 months ago
"
Rumah sakit mewah",NULL,NULL,Positive,10 months ago
"
fasilitas & layanan ok sih, tapi perlu upgrade lagi untuk harga segitu ya",Cost,NULL,Negative,9 months ago
"
Titik lokasi tidak sesuai",NULL,NULL,Negative,2 weeks ago
"
Juos",NULL,NULL,Positive,5 months ago
"
Ruang tunggu igd",NULL,Emergency Department Waiting Room,Neutral,10 months ago
"
Suasana bersih, terang, wanginya tidak berbau rumah sakit seperti pada umumnya",Cleanliness,NULL,Positive,2 years ago
"
Penanganan gawat darurat tengah malam luar biasa pelannn...",Waiting Time,NULL,Negative,11 months ago
"
Rumah sakit dengan fasilitas sangat baik di Surabaya Barat",NULL,NULL,Positive,2 years ago
"
Kalau musim hujan Dari parkir motor menuju kedalam bisa kehujanan, krn tdk ada balkon dri perkir motor menuju ke dalam",Parking,NULL,Negative,a year ago
"
Anak sy melahirkan di national hospital 22 nov 2018. Plg dari rmh skt di sekitar pantat dan kemaluan cucu sy kulitnya merah merah iritasi. Dibawain plg obt salep oleh perawat. Tlg tanya brp kali sehari popok cucu sy diganti oleh perawat ?  Kok bs sampe iritasi kulitnya ? Rmh skt segede itu kok penagangan bayinya bs seburuk itu ? Sy amat sngt tdk menyarankan memilih national hospital.  Cukup satu kali aja.",NULL,National Hospital,Negative,a year ago
"
RS dengan kesan nya luxury & premium. Pelayanan sejak registrasi cukup ramah, & mengesankan. Dokter & perawat juga cekatan & sangat membantu.","Receptionist&Billing, Doctor, Nurse","NULL, NULL, NULL","Positive, Positive, Positive",a year ago
"
Rumah sakit di Surabaya Barat. Ada free kursi pijat di lantai 2.  lebih terasa seperti rumah sakit  komersil yang modern.",NULL,NULL,Positive,a year ago
"
Hospital Indonesia yg dikelola secara profesional---mantap",NULL,NULL,Positive,11 months ago
"
mempermudah Pasien dengan bebas Appointment dengan dokter selama 24 Jam untuk kapan saja",Receptionist&Billing,NULL,Positive,a year ago
"
Salah satu rumah sakit modern di Surabaya.",NULL,NULL,Positive,10 months ago
"
Pelayanan bagus",NULL,NULL,Positive,8 months ago
"
ugdnya bagus banget",NULL,Emergency Unit,Positive,2 years ago
"
pelayanan susternya sangat mengecewakan,tidak ada koordinasi yang baik antar suster sehingga ditanya selalu jawab tidak tahu tidak tahu,bertanya info yg sama sampai 4x tp tidak ada penanganan yang jelas",Nurse,NULL,Negative,a year ago
"
Tempatnya okay, tapi SDM perawat yg harus di benahi, apalagi pernah kasus tahun 2018",Nurse,NULL,Negative,a year ago
"
Payah sekali...gak bisa ditelp...sibuk melulu",Receptionist&Billing,NULL,Negative,a year ago
"
salah satu rumah sakit terbaik yang ada di Surabaya. Mendahulukan pasien tanpa peduli membayar dengan asuransi atau tidak. Benar-benar harus diacungi jempol pelayanannya. Tempatnya sangat bersih & lahan parkir cukup luas.","Receptionist&Billing, Cleanliness, Parking","NULL, NULL, NULL","Positive, Positive, Positive",a year ago
"
Untuk kebersihan dan pelayanan suster sangat baik.  Namun utk harga kamar yg ditawarkan tdk sebanding dengan fasilitas yg diterima.  cthnya utk kelas II di patok dgn harga 600rb namun utk fasiitas didlm kamar sangat minim.  minimal ada TV didlm kamar namun ini tdk ada hanya diruang tamu.  Bgm pasien dan penunggu bs betah didlm kamar.  Utk kecepatan Admin bs ditingkatkan spy cepat.","Cleanliness, Nurse, Cost, Receptionist&Billing","NULL, NULL, NULL, NULL","Positive, Positive, Negative, Negative",2 years ago
"
Rumah sakit dengan standard tinggi",NULL,NULL,Positive,7 months ago
"
Operasi mata disini sungguh mengecewakan sekali. Harusnya operasi tidak berbekas malah menjadi luka di kelopak mata. Dan nanah yang harusnya keluar semua bahkan masih tersisa (dan saat operasi bahkan dokter mengomel dan memang mengatakan memang operasi tidak bersih, saya masih tidak paham mengapa beliau berkata seperti ktu padahal sayapun membayar operasi itu tapi bahkan seperti tidak dianggap sebagai pasien) dan mengakibatkan bengkak sampai saat ini sehingga membuat mata menjadi susah untuk melihat. Untuk gigi terkadang harus menunggu lama tanpa ada pemberitahuan sampai akhir terkait sampai kapan harus menunggu. Bahkan yang harusnya saat itu saya tanyakan ke perawat bahwa jam dokter adalah sampai pasien yang telah registrasi selesai dan dokter pulang. Tapi saat saya tinggal untuk sholat dan kembali saya mendapat kabar bahwa dokter telah pergi padahal saya sudah menunggu 4 jam lamanya.
Untuk pihak registrasi terkadang cuek dan terlihat tidak peduli.
Mohon untuk diperbaiki etikanya terhadap pasien. Paham sih pasien butuh dokter, ya tapi harusnya dokter juga bersikap sopan dan pro terhadap pasiennya dan gak seenaknya.Terima kasih","Doctor, Waiting Time, Receptionist&Billing","NULL, NULL, NULL","Negative, Negative, Negative",2 years ago
"
Pelayanannya maupun Fasilitasnya Bagus",NULL,NULL,Positive,8 months ago
"
Hari ini saya telp mo nanyak vaksin influenza katanya disambungkan terus ditutup tiba sudah telp 3x dan tidak ditelpon balik.",Receptionist&Billing,NULL,Negative,2 years ago
"
Pelayanan superrrr bagus. Mulai admin yang sangat detail a-z sebelum kita check in. Suster nya berkompeten semua, pelayanan sangat bagus. Dokternya juga profesional semua, cekatan, pasien punya keluhan apa langsung ditindaki. Peralatan lengkap dan gak sembarang kasih obat. RS terbaik di Indonesia versi saya. Gak rugi bayar, meski tarif cukup premium, tapi setara sama pelayanan dan kesehatan express yang bisa didapet","Receptionist&Billing, Nurse, Doctor, Test&Examination, Cost","NULL, NULL, NULL, NULL, NULL","Positive, Positive, Positive, Positive, Positive",2 years ago
"
Pelayanan baik, kamar serta lorong dan fasilitas lain2nya bersih, nyaman, tenang  RS rasa hotel ",Cleanliness,NULL,Positive,3 years ago
"
Pelayanan sangat baik, kebersihan selalu terjaga, fasilitas lengkap, parkir mobil cukup luas, toilet bersih, loby luas, sangat nyaman. Di lantai 2 ada kursi pijat dan vending machine minuman. Ada starbucks di dekat loby. Tempat sangat strategis, dekat beberapa perumahan besar, graha family, citraland, pakuwon group, bukit darmo. Juga dekat dengan kampus UNESA..
Biaya memang sedikit lebih tinggi, namun sebanding dengan pelayanan yang baik..","Cleanliness, Parking, Food, Cost","NULL, NULL, NULL, NULL","Positive, Positive, Positive, Positive",2 years ago
"
Klo tdk untuk urusan medis, anda bisa bersantai d Cafe Starbucks dan masih ada yg lain untuk bersantai....",Food,NULL,Positive,2 years ago
"
Rumah sakit dengan kualitas yang sangat baik, dengan layanan yang sangat cepat sehingga pasien tidak lama untuk menunggu. Ruangan dan segala arsitektur di dalamnya tertata sangat baik, sehingga para pengunjung dapat merasa nyaman. Terdapat pula ruang baca untuk para pengunjung, dan televisi di setiap ruangan.",Waiting Time,NULL,Positive,2 years ago
"
Rumah sakit yang berfasilitas lengakap. Tetapi nama baiknya dirusak oleh oknum tak bertanggung jawab seperti perawatnya yang terkena kasus pelecehan seksual. Semoga tidak terjadi lagi kejadian yang seperti itu. Dan pelakunya sekarang sudah diproses. Sukses selalu National Hospital semoga memberikan pelayanan yang lebih baik dari yang sebelunya ",Nurse,National Hospital,Negative,2 years ago
"
The worst hospital ever ! Tidak first come first serve ! Staff lebih mendahulukan current patient walaupun saya datang dahulu. Dokter datang tidak sesuai dengan jadwal ( telat 2 jam ). Lalu, staff parkir main dengan hape sehingga kalau ada mobil , dia harus dipanggil dulu. This is not a professional hospital. If i can give a 0 star, I would !","Waiting Time, Doctor, Parking","NULL, NULL, NULL","Negative, Negative, Negative",2 years ago
"
suster tidak berpengalaman!! hanya jual tempat bagus tanpa diimbangi SDM yg memadai!
line telp pun selalu sibuk tanpa diberi kesempatan untuk menunggu, line telp lgs mati setelahnya","Nurse, Receptionist&Billing","NULL, NULL","Negative, Negative",2 years ago
"
Reka medis TIDAK MAU MENGANGKAT TELEPON.......",Receptionist&Billing,NULL,Negative,a year ago
"
Rumah sakit swasta yang mengutaman kenyamanan pasien. Semua petugas sangat ramah kepada pasien atau keluarga pasien. Rumah sakit sangat bersih dan menggunakan system green building sehingga sangat nyaman jika harus berlama lama di rumah sakit ini ","Receptionist&Billing, Cleanliness","NULL, NULL","Positive, Positive",2 years ago
"
Parah banget, dari segi pelayanan. Meskipun fasilitas bagus tapi pelayanan super parah. Model singapore tapi sistem managemen yg super parah",NULL,NULL,Negative,2 years ago
"
Ini yang namanya ada uang ada barang. Emang ratenya lebih mahal dibandingkan rs lainnya, tp so far  servicenya luar biasa. Service rs paling baik yang saya tahu. Staffnya ramah2, susternya super helpfull, dan dokternya pun friendly banget, sabar dan menjelaskan dengan detail. Kamar inapnya oke banget, bersih seperti hotel. Service excellence. Thumbs up!","Cost, Nurse, Doctor, Cleanliness","NULL, NULL, NULL, Dorm Room","Negative, Positive, Positive, Positive",3 years ago
